Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""registration page/nama_belakang""), nama_belakang)",Firefox 88.0,,,2021-04-21 15:17:03,2021-04-21 15:17:03,0.524s,PASSED
"setText(findTestObject(""registration page/email_no""), no_email)",Firefox 88.0,,,2021-04-21 15:17:03,2021-04-21 15:17:04,0.775s,PASSED
"reinput = verifyElementVisible(findTestObject(""registration page/reinput_email""), OPTIONAL)",Firefox 88.0,,,2021-04-21 15:17:04,2021-04-21 15:17:05,0.811s,PASSED
if (reinput == true),Firefox 88.0,,,2021-04-21 15:17:05,2021-04-21 15:17:05,0.544s,PASSED
"setEncryptedText(findTestObject(""registration page/password""), password)",Firefox 88.0,,,2021-04-21 15:17:05,2021-04-21 15:17:06,0.522s,PASSED
"selectOptionByValue(findTestObject(""registration page/dropdown_tahun""), tahun, true)",Firefox 88.0,,,2021-04-21 15:17:06,2021-04-21 15:17:08,2.270s,PASSED
"click(findTestObject(""registration page/label_perempuan""))",Firefox 88.0,,,2021-04-21 15:17:08,2021-04-21 15:17:09,0.510s,PASSED
"click(findTestObject(""registration page/btn_daftar""))",Firefox 88.0,,,2021-04-21 15:17:09,2021-04-21 15:17:09,0.820s,PASSED
"text = verifyTextPresent(""Harap masukkan nomor telepon atau alamat email yang valid"", false, OPTIONAL)",Firefox 88.0,,,2021-04-21 15:17:09,2021-04-21 15:17:13,3.305s,PASSED
if (text == true),Firefox 88.0,,,2021-04-21 15:17:13,2021-04-21 15:17:13,0.001s,PASSED
else,Firefox 88.0,,,2021-04-21 15:17:13,2021-04-21 15:17:15,2.025s,PASSED
closeBrowser(),Firefox 88.0,,,2021-04-21 15:17:15,2021-04-21 15:17:16,0.915s,PASSED
